Ticker,Model,RMSE,MAE,QLIKE,R2,AIC,BIC,Time_s,Best
KOTAKBANK_NS,"EGARCH(1,1)-t",0.19974732260332934,0.14608261521666258,0.6036230946242862,-0.2570226619211693,3669.924493313802,3694.310973671289,0.5,
KOTAKBANK_NS,"GJR-GARCH(1,1)-t",0.21282882518560636,0.15773812067120047,0.6288156327023727,-0.42705946129988637,3668.9297407831436,3698.1935172121284,0.6,
KOTAKBANK_NS,HAR-RV,0.18160590135993204,0.11698419905992587,0.5468378258360576,-0.03906110382563721,,,0.5,*
META,"GARCH(1,1)-t",0.3009182163021236,0.22137187551664722,0.6058310421577193,-0.2231838149781753,4575.052290702602,4599.510420187863,1.0,
META,"EGARCH(1,1)-t",0.2987155147094063,0.2163433618137526,0.5980045358364826,-0.20534210444210044,4565.227134004438,4589.6852634896995,0.7,
META,"GJR-GARCH(1,1)-t",0.2970151446942832,0.21460618700267062,0.5971813188676512,-0.19165888922676588,4561.486070400656,4590.83582578297,1.2,
META,HAR-RV,0.2754827675670711,0.17592014974449544,0.5320759070288656,-0.02514109358653238,,,0.5,*
MSFT,"GARCH(1,1)-t",0.15794014536132048,0.13309910107933762,0.5372242667375027,-0.40800033243240286,3945.087853422713,3969.5459829079746,0.5,
MSFT,"EGARCH(1,1)-t",0.15527386690129003,0.13001241257066004,0.52781551101021,-0.3608630677210587,3942.216352795939,3966.6744822812007,0.5,
MSFT,"GJR-GARCH(1,1)-t",0.16620696972423685,0.14097359224345785,0.5579971846968985,-0.5592514394625443,3930.6314916585875,3959.981247040901,0.6,
MSFT,HAR-RV,0.1403078608350548,0.10850889436567752,0.48982466472500763,-0.1111730438647851,,,0.6,*
NVDA,"GARCH(1,1)-t",0.37434539549536644,0.2962989054215216,0.5110453929354772,-0.16658484869799484,5052.008327664579,5076.466457149841,0.6,
NVDA,"EGARCH(1,1)-t",0.3723408322443406,0.2938654903197916,0.509343480894561,-0.15412452726421622,5043.735993527007,5068.194123012268,0.5,
NVDA,"GJR-GARCH(1,1)-t",0.3655007207446493,0.28625987128438907,0.49917767119596884,-0.11211017897872999,5041.68702460538,5071.036779987694,0.7,
NVDA,HAR-RV,0.34592886665495975,0.2562692989077958,0.4816530409193034,0.0038036448320953875,,,0.5,*
RELIANCE_NS,"GARCH(1,1)-t",0.18886620642050012,0.1484843903018186,0.5549835376859789,-0.3836766399170435,3675.725539844977,3700.112020202464,0.6,
RELIANCE_NS,"EGARCH(1,1)-t",0.1839230769070684,0.14374166904252755,0.5448926583760255,-0.3121954944730396,3673.204242234913,3697.5907225924,0.5,
RELIANCE_NS,"GJR-GARCH(1,1)-t",0.1874491627550642,0.14745907126925645,0.5538259562303696,-0.362991365655017,3673.141982069484,3702.405758498469,0.7,
RELIANCE_NS,HAR-RV,0.16233382292086782,0.11027233221937738,0.4715926060197277,-0.022219419820555197,,,0.5,*
SBIN_NS,"GARCH(1,1)-t",0.25628574444325214,0.17743473962714373,0.5786134935460014,-0.28219049236175286,3942.8524729566516,3967.2389533141386,0.9,
SBIN_NS,"EGARCH(1,1)-t",0.2583798121730722,0.19266332406034983,0.6048988301770227,-0.30322922048597745,3929.837681092402,3954.224161449889,3.1,
SBIN_NS,"GJR-GARCH(1,1)-t",0.25669266657339584,0.17605399146918846,0.5744584367595622,-0.28626536509940914,3943.9826586737286,3973.2464351027133,1.1,
SBIN_NS,HAR-RV,0.22439694455119893,0.13820540268911527,0.5127391922591983,0.017036184784336883,,,0.6,*
TCS_NS,"GARCH(1,1)-t",0.1664811261677163,0.13805813569164901,0.5557032845906298,-0.31235515407374637,3407.8184246848878,3432.204905042375,0.7,
TCS_NS,"EGARCH(1,1)-t",0.16364113213049936,0.13545269744728092,0.5478725837933046,-0.2679622448540455,3408.786876669802,3433.173357027289,0.6,
TCS_NS,"GJR-GARCH(1,1)-t",0.16389771813803747,0.13553089135771654,0.5489291579639434,-0.27194164086827666,3405.5242389147506,3434.7880153437354,0.8,
TCS_NS,HAR-RV,0.14750907291898388,0.10804024239218456,0.4899762945337755,-0.03028846661859297,,,0.5,*
TSLA,"GARCH(1,1)-t",0.4763093411400691,0.3704547369889343,0.5323247428685663,-0.2087627113108914,5462.675891368028,5487.134020853289,0.5,
TSLA,"EGARCH(1,1)-t",0.46940018576557746,0.36413525689510345,0.5263826613341064,-0.17394938025831697,5464.23178996501,5488.689919450271,0.5,
TSLA,"GJR-GARCH(1,1)-t",0.4741256052502056,0.36919029843330153,0.5315609193785147,-0.19770448777089045,5464.109875016477,5493.459630398791,0.6,
TSLA,HAR-RV,0.437100160280694,0.3009699028295112,0.4947708284872163,-0.01794611238073096,,,0.7,*
